sentence,label
3 Members Of K-pop Sensation BTS Diagnosed With COVID-19,No
"Leo vs. Taurus
I feel the transition
I feel the eternal
I feel the grinder on my heart
Million drawings on the firmament
I can go ahead
Until I reach Taurus
LEO against the hole world
The handstand you're the autonomous
You can't understand
Leo
Taurus
Leo
Taurus
The circle of blood
The circle of my blood
Brother
My brother
My brother in my war
My brother in my heart
I help you",Yes
"A tricky time never slows,
That moment walked me by
without bothering to say,
lucky time never stops,
That moment walked me by
without bothering to,
Say hello,
(Say hello)
Say hello,
(Say hello)
Say hello,
(Say hello)
Say hello,
(Say hello)
Say..
A tricky time never slows,
That moment walked me by
without bothering to say,
lucky time never stops,
That moment knocked me down
without bothering to,
Say hello,
Say hello,
Say hello,
Say hello,
(Say hello)
A tricky time never slows,
That moment walked me by
without bothering to say,
lucky time never stops,
That moment knocked me down
without bothering to,
Say hello,
(Say hello), x2
(Say hello) x5
(Say hello) x10",Yes
Twitter Beef Between Rep. Marjorie Taylor Greene and Jimmy Kimmel Enters Its 2nd Day,No
Air New Zealand Threatened With Boycott Over Plan To Trademark Logo Of Maori Phrase,No
Trevor Noah Busts Putin For 'Another S**tty Thing' He's Doing To Screw With U.S.,No
"I might be anyone
A lone fool out in the sun
Your heartbeat of solid gold
I love you, you'll never know
When the daylight comes you feel so cold,
You know
I'm too afraid of my heart to let you go
Waiting for the fire to light
Feeling like we could do right
Be the one that makes tonight
'Cause freedom is a lonely road
We're under control
We're under control
I might be anyone
A lone fool out in the sun
Your heartbeat of solid gold
I love you, you'll never know
When the daylight comes you feel so cold,
You know
I'm too afraid of my heart to let you go
Waiting for the fire to light
Feeling like we could do right
Be the one that makes tonight
'Cause freedom is a lonely road
We're under control
Waiting for the fire to light
Feeling like we could do right
Be the one that makes tonight
'Cause freedom is a lonely road
We're under control
We're under control",Yes
Senator Lindsey Graham Invites Rudy Giuliani To Testify Before Congress,No
"Are you thinking that I
Wasn't meant for you?
Could it be, you believe
That I've been untrue?
But listen, sweetheart
This just cannot be
'Cause you're the only good thing
That's happened to me
We have our ups and downs
Like all lovers do
But you know in your heart
That I worship you
So don't ever think
Of setting me free
'Cause you're the only good thing
That's happened to me
Play it
If you ever may think
That I don't love you
That I'm not satisfied
With things that you do
I want you to know
And please understand
There's nothing in this world
Worth the touch of your hand
Yes, we have our ups and downs
Like all lovers do
But you know in your heart
That I worship you
So don't ever think
Of setting me free
'Cause you're the only good thing
That's happened to me",Yes
The Best Black Friday And Cyber Monday 2020 Beauty Deals,No
Activists Call It A ‘False Solution.’ But UN Scientists Say We Need To Suck Up CO2.,No
"Well if I had money
Tell you what I'd do
I'd go downtown and buy a mercury or two
Crazy 'bout a mercury
Lord I'm crazy bout a mercury
I'm gonna buy me a mercury
And cruise it up and down the road
Well the girl I love
I stole her from a friend
He got lucky, stole her back again
She heard he had a mercury
Lord she's crazy 'bout a mercury
I'm gonna buy me a mercury
And cruise it up and down the road
Well hey now mama
You look so fine
Ridin' round in your mercury 49
Crazy 'bout a mercury
Lord I'm crazy 'bout a mercury
I'm gonna buy me a mercury
And cruise it up and down the road
Well my baby went out
She didn't stay long
Bought herself a mercury, come a cruisin' home
She's crazy 'bout a mercury
Yeah she's crazy 'bout a mercury
I'm gonna buy me a mercury
And cruise it up and down the road
Oh, cruise now
Well if I had money
I tell you what I'd do
I'd go downtown and buy me a mercury or two
Crazy 'bout a mercury
Lord I'm crazy 'bout a mercury
I'm gonna buy me a mercury
And cruise it up and down the road
I'm gonna buy me a mercury
And cruise it up and down the road
Yeah, I'm gonna buy me a mercury
And cruise it up and down the road
Oh, let's go!",Yes
"My country's bigger than most
And if asked I boast
'Cause I'm really proud
So I shout it loud
Though our numbers are few
We will welcome you
Although we don't have history
Gold medal winning teams
Heroes or prisoners
World famous volcanoes
Still what we've got's glorious
'Cause we've got rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and water
All right, everyone
We've got rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and rocks and trees
And trees and rocks, and water",Yes
"Russia Accuses Ukraine, U.S. Of Biological Weapon Operations In Heated U.N. Face-Off",No
"You tell me, you're in love with me
Like you can't take your pretty eyes away from me
It's not that I don't want to stay
But every time you come too close, I move away
I wanna believe in everything that you say
'Cause it sounds so good
But if you really want me, move slow
There's things about me, you just have to know
Sometimes I run
Sometimes I hide
Sometimes I'm scared of you
But all I really want is to hold you tight
Treat you right, be with you day and night
Baby, all I need is time
I don't wanna be so shy
Every time that I'm alone, I wonder why
Hope that you will wait for me
You'll see that you're the only one for me
I wanna believe in everything that you say
'Cause it sounds so good
But if you really want me, move slow
There's things about me, you just have to know
Sometimes I run
Sometimes, sometimes I hide
Sometimes I'm scared of you
But all I really want is to hold you tight
Treat you right, be with you day and night
All I really want is to hold you tight
Treat you right, be with you day and night
Baby, all I need is time
Come, just hang around and you'll see
There's nowhere I'd rather be
If you love me, trust in me
The way that I trust in you
Sometimes I run
Sometimes I hide
Sometimes I'm scared of you
All I really want is to hold you tight
Treat you right, be with you day and night
Sometimes I run
Sometimes I hide
Sometimes I'm scared of you
All I really want is to hold you tight
Treat you right, be with you day and night
All I really want is to hold you tight
Be with you day and night
Sometimes I run
Sometimes I hide
Sometimes I'm scared of you
All I really want is to hold you tight
Treat you right, be with you day and night",Yes
"cannon, cannon, more often don't fuck with box if i dont believe it it's history don't wanna be shot cuz a million cocks got all up in that in between but tonight to me your a mystery sorta history don't mean shit to me but that new vajay could be squeaky clean or all beat up like brittanys hi yo yo what up brit high five for the nipple slips soo do u mind if i sit for this i tip so big ya dig?
i dig touch hers its right now i dont need numbers skidaloupe rock paper skitty john no chair my face you be sittin on gimme gimme",Yes
"Ooh, yeah, you know,
You couldn't cause me any harm.
Although, at times, I may get startled,
I'm not alarmed.
I can see your eyes
I know when they're telling me a truth
I can feel the heart,
Especially when it's on the roof
Of my mouth.
There's no right or wrong.
This isn't a test.
And I won't lose my experience.
I won't try
To put it aside.
But it's alright.
You know that it's alright.
's alright.
It's gonna be alright.
It's gonna be alright.
And if I told you,
Would you never know to guess?
Sure, what's the point
When little often means so much less.
I can see for miles.
I know when you're telling me a truth
I can feel my heart,
Especially now.
It's on the roof
Of my mouth
There's no right or wrong.
This isn't a gesture
And I don't use my experience.
I don't try
To let it go by
But it's alright.
You know that it's alright.
It's alright.
It's gonna be alright.",Yes
Time's Up CEO Urges NBC To Suspend All Nondisclosure Agreements Immediately,No
"It's time to love,
snow from above.
It's time to care,
winter is here.
A snow white kiss,
everything's bliss.
And on your nose,
summer tears froze.
A wintertime love,
a crystal clear love.
A snow white kiss,
everything is bliss.
And on your nose,
summer tears froze.
A wintertime love.
A wintertime love.
A crystal clear love.
A wintertime love.
A snow white kiss,
everything is bliss.
And on your nose,
summer tears froze.
A wintertime love.
A wintertime love.
A crystal clear love.
A wintertime love.
Love love love.
Who's hiding the tears above.
A wintertime love.",Yes
"I'm wide open
But don't I please you anymore?
You're slipping away from me
You're drifting away from me
I'm wide open
But don't I please you anymore?
You're slipping away from me
You're slipping away from me
Slow me down
It's getting away from me
It's getting away from me
It's getting away from me
Slow me down
It's getting away from me
It's getting away from me
It's getting away from me
I'm wide open
But I couldn't see it anymore
You're drifting away from me
You're slipping away from me
I'm wide open
I'm wide open
I'm wide open
One day just gonna see me
Look back and forth from the ceiling
(I'm wide open) some day love's gonna hurt me
Turn back and soon I'll believe it
Slow me down
It's getting away from me
It's getting away from me
It's getting away from me
Slow me down
It's getting away from me
It's getting away from me
It's getting away from me
I'm wide open
I'm wide open
Slow me down
It's getting away from me
It's getting away from me
It's getting away from me",Yes
How A Pandemic Affects Your Poop And How To Deal With It,No
North America's Rarest Mammal Makes 'Surprise Appearance' In Colorado Garage,No
Jacob Blake Files Excessive Force Lawsuit Against Officer Who Shot Him,No
"sex
have some sex
safe sex
word 'em up
okay, it's time for some action
a little passion, some booty waxin'
for the bozac, make sure he's strapped
and if baby got back, then yo, we with that
call up a few people on the phone
yo we're havin' a party, at my private home
some bring some chronic, plus some brew
call up your girl and invite her too
come active and bring purple lactives
'cause we're gonna get more busy than gymnastics
and do the humpty hump all night
so when you come with the boy, make sure you're right
it's nine o'clock, party starts at ten
so enough for now, I'll talk to you then
later, huh, I'll see you when you get here
and make it quick, ah yeah
time for some safe sex
[Chorus]
safe sex
safe sex
safe sex
we all need (safe sex)
ding dong, there goes the bell
I opened up the door and oh, what the hell
it was a buncha niggas standin' by my door
I said come in, but respect my floor
that means take off your shoes and englands
'cause I'm a gentleman, some say distinguished
all of y'all put your things up in the kitchen
and the rest of y'all sit down and listen
be free and relax in what you're wearin'
let's all be happy like Bobby McFerrin
and get loose and produce the funky juice
and let's swing this shit like they swing a forty deuce
they want some reggae, like some flex
time to have sex
and it's all night, so turn off the light
and let's get high as a kite
and have safe sex
[Chorus]
somebody say sex (sex)
say safe sex (safe sex)
I love it (I love it)
I need it (I need it)
but for real, when you're havin' sex
no matter what type, make sure you wear the latex
to all of the cons out there sexin'
stop and look, boy, you're stressed out protection
cause aids is real and something to believe
or not make-believe and fake like hair weave
a death wish like Charles Bronson
and if you don't believe me then ask Magic Johnson
about the sex
[Chorus]",Yes
Florida Free-Fall Ride Deemed ‘Danger To Public Health' By Officials After Death,No
'Mission: Impossible 7' Shut Down Again Over Positive COVID-19 Tests,No
"[Verse 1]
I can fly like a bird not in the sky
which can always swim and always dry
I say goodbye at night and morning hi
I'm part of you what am I
I follow and lead as you pass
dress yourself in black my darkness lasts
I flee the light but without the sun
Your view of me would be gone and
I can see the damage that
I am causing you is so benign
You want me to be gone
but I have just be-
[Pre-chorus]
Gun
I am the only one undone
I'm a broken miracle now
In your head
[Chorus]
I don't feel
Like I am real
But I know it's all imaginary
Are they real
And do they feel
Is all the pain
Just inside my head
[Verse 2]
I am what men love more than life
Fear more than death or mortal strife
What dead men have and rich require
I'm what contented men desire
you want me to be gone
but I have just be-
[Pre-chorus 2]
gun
you will never know how far I've come
what goes up must never come back down
[Chorus 2]
I don't feel
Like I am real
But I know it's all imaginary
Are they real
And do they feel
Is all the pain
Just inside my head
it's all inside my head
it's just inside my
it's all inside my
they're all inside my
I see them always but they're
all inside my head
all inside my head
they're all inside my
[Bridge]
head It's killing me
to see I'm killing you
death is magic say
Abra Cadavre now
you see me now you
don't cry when I am
gone
these shackles they come
with certain opportunities
they won't let me get away
but they show me we're the same
we're the same
we're the same
they show me we are the same
I can't give in
I won't give in
It's not a state of mind
I'm wretched but I'm powerful and
[Chorus 3]
I don't feel
Like I am real
But I know it's all imaginary
Are they real
And do they feel
Is all the pain
Just inside my head
it's all inside my head
it's just inside my
it's all inside my
they're all inside my
I see them always but they're
all inside my head
all inside my head
they're all inside my head",Yes
"Criminals, doctors, cynics and believers.
Preachers, teachers, murderers and bankers.
The faithless and the Pope,
the weight of our hope
on the girl with the world on her shoulders.
The actor in the wings, to the mocking bird that sings.
From the bottom of the sea, to the penthouse suite.
As I turn to walk away, I overheard her say,
""We're all in here together"".
Love, hate, coincidence, fate.
We trust, we lie, we live and we die.
No matter who you are just cannot escape.
That we're all in here together.
Love, hate, coincidence, fate.
We trust, we lie, we live and we die.
I overheard her say,
""you just cannot escape,
we're all in here together.""
The ships on the harbour, the city's so tall,
all that rise will eventually fall.
There's nothing you can do,
no nothing at all, for the girl
with the world on her shoulders.
Making our way through space and time,
warmed by the sun, making love to the moon.
We're spinning each day
and we make some mistakes.
but we're all in here together.",Yes
"Knowing When To Leave
Go while the going is good
Knowing when to leave may be
The smartest thing anyone can learn, go!
I'm afraid my heart isn't very smart
Fly while you still have your wings
Knowing when to leave will never let you reach
The point of no return, fly!
Foolish as it seems
I still have my dreams
So I keep hoping, day after day
As I wait for the man I need
Night after night as I wish
For a love that can be
Though I'm sure that no one can tell where their
Wishes and hopes will lead, somehow I feel
There is happiness waiting for me
When someone walks in your life
You just better be sure he's right
'Cause if he's wrong, there's are heartaches and tears you must pay
Keep both of your eyes on the door
Never let it get out of sight
Just be prepared when the time has come
You run away
Sail when the wind starts to blow
Bul like a fool I don't know when to leave
Make It Easy On Yourself
And make it easy on yourself
Make it easy on yourself, easy on yourself
'Cause breaking up is so very hard to do
(There's) Always Something
There To Remind Me
If you should find you miss
The sweet and tender love we used to share
Love we used to share
Just go back to the places where we used to go
And I'll be there
Oh, how can I forget you
When there is always something there to remind me
Always something there to remind me
I was born to love you
And I will never be free
You'll always be a part of me
When there is always something there to remind me
I'll Never Fall In Love Again
Don't tell me what it's all about
'Cause I've been there and I'm glad I'm out
Out of those chains those chains that bind you
That is why I'm here to remind you
What do you get when you fall in love?
You only get lies and pain and sorrow
So, for at least, until tomorrow
I'll never fall in love again
Oh, I'll never fall in love again
Walk On By
If you see me walkin' down the street
And I start to cry each time we meet
Walk on by, walk on by
Make believe that you don't see the tears
Just let me grieve in private
'Cause each time I see you I break down and cry
Walk on by
I just can't get over losing you
So if I should seem broken and blue
Walk on by, walk on by
Foolish pride that's all that I have left
So let me have the tears and the sadness that you gave me
When you said good-bye
Walk on by, by
Do You Know The Way To San Jose
Do you know the way to San Jose?
I've been away so long
I may go wrong and lose my way
Do you know the way to San Jose?
I'm going back to find some peace of mind in San Jose
L.A. is a great big freeway
Put a hundred down and by a car
In a week, maybe two they'll make you a star
Weeks turn into years, how quick they pass
And all the stars that never were
Are parking cars and pumping gas
I've got lots of friends in San Jose
Can't wait to get back to San Jose
Do you know the way to San Jose?",Yes
"Clean shirt, new shoes
And I don't know where I am goin' to
Silk suit, black tie
I don't need a reason why
They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man
Gold watch, diamond ring
I ain't missin' not a single thing
And cufflinks, stick pin
When I step out I'm gonna do you in
They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man
Top coat, top hat
I don't worry 'cause my wallet's fat
Black shades, white gloves
Lookin' sharp and lookin' for love
They come runnin' just as fast as they can
'Cause every girl grazy 'bout a sharp dressed man",Yes
"Let it snow, let it snow, let it snow
Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow
It doesn't show signs of stopping
And I've bought some corn for popping
The lights are turned way down low
Let it snow, let it snow, let it snow
When we finally kiss goodnight
How I hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm
The fire is slowly dying
And my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow
Let it snow, let it snow, let it snow
When we finally kiss goodnight
How I hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm
The fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow
As long as you love me so
Let it snow, let it snow, let it snow
Let it snow, let it snow, let it snow
Let it snow, let it snow",Yes
"Close the door
Let me give you what you've been waiting for
Girl, I've got so much love to give
I want to give it all to you
Close the door
No need to worry no more
Let's bring this day to a pleasant end
Girl, it's me and you now
I've waited all day long
Just to hold you in my arms
And it's exactly like I thought it would be
Me lovin' you and you lovin' me
Close the door
Let me rub your back where you say it's sore
Come on get closer and closer, so close to me
Let's get lost in each other
Come on, baby
Sex baby
Think I want to sex you baby
Sex baby
Think I want to sex you baby
I've waited all day long
Just to hold you in my arms
And it's exactly like I thought it would be
Me lovin' you and you lovin' me
Close the door, baby
And let me blow your mind
Plenty good lovin' all through the night
And then again and then again till the morning comes
Ooh, come back, girl
Come here, baby
Let me blow your mind
Let me do what I want do to you
Let me do what I want do to you
Darling, won't you let me make sweet love to you, baby, uh
Baby, it's so good
So good, so good, so good baby, uh",Yes
'Daily Show' Torches Ted Cruz With A New Job He'd Be Brilliant At,No
Hurricane Ida Intensifies To Category 4 As It Barrels Toward Gulf Coast,No
Republicans Resist Bipartisan Capitol Riot Commission,No
The Funniest Tweets From Parents This Week (June 27-July 3),No
"Yeah, yeah, I get it
I run this rap shit, now guess who's back
You thought I left you, now why would I do that?
(1, 2, 3)
They keep on sayin' the same rappers are the best
Jay-Z and Kanye West, maybe they're just tryna distract it
From the fact that I'm comin' back
Or maybe it's 'cause I ain't black, maybe it's because of that
Maybe it's because I'm the highest sellin' artist in rap
While I'm sittin' back in my office, jackin' off to my plaques
I'm still sick, how can I be sick this long
And I'm still alive, Magic Johnson arise
I thrive on makin' my opponents think that I've died
That's when I just pop up outta nowhere
Oh yeah, there we go there
Damn I forgot how much money he got
On the beach of Saint-Tropez
But your man don't lay in the sun 'cause I don't tan, I burn, blood clot
When you gonna learn how much money we've earned
How does it feel to know I came in this game at 25
And coulda retired at 29 in my 20s still
And Fif' here to lick on that Coca-Cola shit
And he ain't even gotta look at coke to even hold a brick
No more, oh boy, goddamn did he score
To go from sellin' bags to bottles right out the store
And Shady hit the box office man, he knocked the socks off us
My ex-wife is set for life, you profitless cocksuckers
So stay the fuck off us, we make pay
I'm just a super easy modest MC, okay?
Til I hear the word has been, that's when I start spazzin'
Smart asses, kiss a smarter ass then
I'm the best thing that ever happened to rap, bastards
I'm a blonde Dre, now gimme Kanye's glasses",Yes
"Oh, the sound of the thing is not a ring
It's more like a pleasant purr
And the only sound I hear at night
Is the sound of my purring air-conditioner
The air is pure and dehumidified
Thermostatically controlled
Now I have no desire to perspire
And that's how progress goes
But the sound of their singing thrilled me
As distantly but clearly it rang
Though I never saw their faces
And never knew their names
And the gentle breeze brought sweet dreams
Of sweethearts that I never saw
Who sang, 'You Are My Sunshine'
In Newport, Arkansas",Yes
"In the salsify mains of what was thought but unsaid
All the calcified arithmatists were doing the math
And it would take a calculated blow to the head
To light the eyes of all the harmless sociopaths
Oh arm in arm we are the harmless sociopaths
Oh, arm in arm with all the harmless sociopaths
Calcium mines are buried deep in your chest
Oh the calcium mines you buried deep in your chest
Ooh
You're deep in a mine
Ooh
A calcium mine
Oh
Let's get out of here
Past the atmosphere
Squint your eyes and no one dies or goes to jail
Past the silver bridge
Oh the silver bridge wearing nothing but a one-sie and a veil
Ooh
You're deep in a mine, o-o-oh
Ooh
A calcium mine
Oh no no
Arm in arm we are the harmless sociopaths
Oh arm in arm with all the harmless sociopaths
In the calcium mines buried deep in your chest
Oh the calcium mines buried deep in your chest
Ooh
Deep in a mine, oh-no
Ooh
A calcium mine
Oh-no
So let's get out of here
Past the atmosphere
Squint your eyes and no one dies or goes to jail
Past the silver bridge
Oh the silver bridge wearing nothing but a one-sie and a veil
Oh-no
Oh-no
Oh-no
Oh-no",Yes
"As 30th Anniversary Of Tiananmen Protests Looms, China Says Crackdown Was Justified",No
Amy Schumer’s Joke About Kirsten Dunst Being An Oscars Seat Filler Made People Cringe,No
Alexandria Ocasio-Cortez's Chief Of Staff: Nothing 'Trumpian' About Her Twitter Use,No
Hamburglar Stars In Prank Calls To Trump's Voter Fraud Hotline,No
Kimmel Hits Trump With 13 Different F-Words In 13 Blistering Seconds,No
Can You Get A Yeast Infection On Your Face From Your Coronavirus Mask?,No
Uvalde Children Grapple With Trauma After School Massacre,No
Trump Tried To Call White House Support Staffer Who Was Talking To Jan. 6 Panel: Report,No
