Text,Type
"The efficacy of the combined treatment of cisplatin and radiation therapy for mouse C1 300 neuroblastoma was studied. Intraperitoneal cisplatin injections and/or radiation were given from 7 to 21 days after inoculation of the tumor cells into the thigh region of A/Jax mice. The combination of 15 Gy radiation and 6 mg/kg cisplatin had an additive effect on both tumour growth delay and survival rate, while that of 30 Gy radiation and 6 mg/kg cisplatin had a synergistic effect. The efficacy of the combined therapy was dependent on the dose of radiation but not on the dose of cisplatin. The normal skin of the mouse was damaged in the similar pattern with both treatments. Thus, cisplatin has a potent radiosensitising effect in the treatment of mouse neuroblastoma.",Biology
"PURPOSE: Clobazam (CLB) has an important antiepileptic effect and is less expensive than the new antiepileptic drugs (AEDs), but still has not been considered as first-line drug in the treatment of epilepsy. We evaluated the efficacy of CLB as add-on therapy in patients with refractory partial epilepsy.METHODS: This was an open, retrospective study, conducted at the epilepsy clinic of our university hospital. All patients had chronic epilepsy and were being evaluated for epilepsy surgery. CLB was introduced as add-on therapy (starting with 10 mg/ day) in patients with previous failure of at least two AEDs. Information was obtained from clinical notes and follow-up visits.RESULTS: We evaluated 97 patients, 37 men and 60 women. Ages ranged from 15 to 70 years (mean, 35.8 years). Etiology of epilepsy was hippocampal atrophy in 67 (69%), cortical dysgenesis in nine (9.3%), and other etiologies in nine (9.3%). In 12 (12.3%) patients, the etiology of epilepsy was not identified despite clinical and neurologic investigation. Patients used CLB for a period ranging from 1 month to 7 years and 9 months (mean, 16.7 months) with doses ranging from 10 to 60 mg/day (mean, 29.7 mg/day). Seven (7.2%) patients were seizure free, 48 (49.4%) had > or =50% of improvement in seizure control, 39 (40.2%) had <50% of improvement in seizure control, and in three (3.1%), no data were available.CONCLUSIONS: We conclude that CLB may have efficacy equivalent to that of the new AEDs when used as add-on therapy in patients with refractory epilepsy. CLB should be considered an economic alternative in the treatment of patients with refractory epilepsy.",Biology
"BACKGROUND: Acute kidney injury (AKI) complicating transcatheter aortic valve implantation (TAVI) is relatively frequent and associated with significant morbidity. Previous studies have shown a higher 30-day and 1-year mortality risk in patients with periprocedural AKI. Our aim was to identify the prognostic impact of periprocedural AKI on long-term follow-up.METHODS: This is a single-center prospective study evaluating patients undergoing TAVI for severe aortic stenosis. AKI was defined according to the Valve Academic Research Consortium 2 definition, as an absolute increase in serum creatinine ?0.3 mg/dL or an increase >50% within the first week following TAVI. Mortality data were compared between patients who developed AKI and those who did not. Logistic and Cox regressions were used for survival analysis.RESULTS: The final analysis included 1086 consecutive TAVI patients. AKI occurred in 201 patients (18.5%). During the follow-up period, 289 patients died. AKI was associated with an increased risk of 30-day mortality {4.5 versus 1.9% in the non-AKI group; hazard ratio [HR] 3.70 [95% confidence interval (CI) 1.35-10.13]}. Although 1-year mortality was higher in the AKI group in univariate analysis, it was not significant after a multivariate regression. AKI was a strong predictor of longer-term mortality [42.3 versus 22.7% for 7-year mortality; HR 1.71 (95% CI 1.30-2.25)]. In 189 of 201 patients we had data regarding recovery from AKI up to 30 days after discharge. In patients with recovery from AKI, the mortality rate was lower (38.2 versus 56.6% in the nonrecovery group; P = 0.022).CONCLUSIONS: Periprocedural AKI following TAVI is a strong risk factor for short-term as well as long-term mortality (up to 7 years). Therefore more effort is needed to reduce this complication.",Biology
"BACKGROUND: Total knee arthroplasty (TKA) is a successful and frequently performed procedure in orthopedic surgery. The diagnosis of peri-prosthetic joint infection following TKA remains challenging. The present study estimated the usefulness of knee skin temperature (measured by infrared thermography) and serum soluble intercellular adhesion molecule-1 (sICAM-1) in the diagnosis of post-operative knee peri-prosthetic infection.METHODS: Patients were divided into three groups: 21 patients undergoing uncomplicated TKAs, seven with prosthesis infection, and three undergoing TKA revisions. The serum levels of interleukin-6 (IL-6), C-reactive protein (CRP), erythrocyte sedimentation rate (ESR), and sICAM-1 as well as the local knee skin temperature were measured pre-operatively and on Days 1 and 7 and at 1, 3, and 6 months post-operatively in Groups 1 and 3. The same parameters were measured in Group 2 at the time of prosthesis infection diagnosis.RESULTS: In Group 1, the levels of IL-6, CRP, ESR, and knee skin temperature were significantly elevated post-operatively, but returned to baseline levels within 6 months. The sICAM-1 levels were not significantly different. The mean differential temperature (MDT) and levels of siCAM-1, IL-6, CRP, and ESR differed significantly between Groups 1 and 2. The MDT had returned to normal in Group 3 by 6 months post-operatively.CONCLUSIONS: Elevations in IL-6, CRP, ESR, and MDT in patients undergoing TKA could be a normal response to surgical trauma, but sustained elevations may be indicative of complications. The knee skin temperature and sICAM-1 may be used as indicators in the diagnosis of knee prosthesis infection following TKA.",Biology
"AIMS: To establish a quantitative sensory testing (QST) profile in the trigeminal (V) area and test for site and gender differences in healthy humans.METHODS: A standardized QST protocol was applied on 15 healthy men (age range: 18 to 25 years old) and 15 age-matched women, and the sensitivity was examined bilaterally in facial sites supplied by the infraorbital (V2) and mental (V3) nerves. The cold detection threshold (CDT), cold pain threshold (CPT), warm detection threshold (WDT), heat pain threshold (HPT), thermal sensory limen (TSL), mechanical detection threshold (MDT), mechanical pain sensitivity (MPS), mechanical pain threshold (MPT), dynamic mechanical allodynia (ALL), windup ratio (WUR), pressure pain threshold (PPT), and vibration detection threshold (VDT) were determined. Data were tested with ANOVAs for repeated measures and post-hoc comparisons were calculated using Bonferroni tests.RESULTS: There were significant gender differences with lower threshold (higher sensitivity) in women for CDT (P = .030) and PPT (P = .006). A significantly lower threshold (higher sensitivity) was detected for HPT (P < .001), and significantly higher thresholds (lower sensitivity) for VDT (P < .001) and CDT (P < .001) in V2 compared to V3. There were no significant right-to-left side differences for any of the QST parameters.CONCLUSION: Application of this standardized QST protocol may allow for a better understanding of the underlying mechanisms from somatosensory phenotypes and provide basic information for the study of sensory dysfunctions in the V area.",Biology
"I'm not a big fan of most anime, but Gundam Wing is truly something else. Gundam wing lacks all of that stereotypical melodrama that you might think of when you think of anime, since the number of jokes made over the 17 hours would only be in the double digits, Gundam Wing gets right down to business. <br /><br />Gundam Wing is as much of a political thriller as it is an action series. Large parts focus on the diplomatic dealings of a war, not only the battles. Though battle animation lacks extreme detail in cases where it would just be a pain to animate, individual duels between gundams are almost pieces of art considering the animated use of complex mechanics and rapid movements. <br /><br />To my knowledge, this 49 episode plus one movie series was picked up by cartoon network in 2000, and then professionally dubbed by them too. the dubbing is simply flawless. not only does every word said match up, but the voices use truly make the characters much more believable. many believe that it is best to watch anime with subs in English, but i simply don't have the determination to do that. <br /><br />Not only are the voices good, but the score used over the series is quite impressive. I'll just say it left me scouring the net in vain to find a soundtrack. <br /><br />The plot of this series is what will truly hook viewers, and no, not hook you like some prime time drama like Lost which was only made for the purpose of hooking you. explaining the plot deeply would lead to many spoilers, since many of the characters do not even have names until quite a few episodes into the series. The rough idea of the series is that earth and its now independent space colonies are having difficulty maintaining peace. Thus a war is started, leading to military coups and elaborate diplomatic situations. I feel that any more detail would begin to give away information, which is crucial to the plot. <br /><br />I'll end here saying that this series is great for anyone that likes anime, anyone that thinks ALL anime is stupid (they have good reason to think so), and anyone looking to get into anime with a serious tone to it.",Non-Biology
"Women entering substance abuse treatment have more severe substance abuse problems and more medical and psychiatric comorbidities than men. Research shows that specialized women's services are associated with better retention and outcomes but relatively little is known about their availability nationwide. This study examined the adoption and implementation of reproductive and female-sensitive social services in a national sample of outpatient substance abuse treatment (OSAT) organizations in 1995 (N = 617) and 2000 (N = 571) by several organizational factors. Overall, reproductive and social services for women have not been widely adopted, although some services did increase over the study period, particularly social services. There was no evidence of large-scale decreases in service availability over the study period, although child care did decline. Nonprofit and public ownership (relative to for-profit) were associated with greater service provision. Managed care units had greater service adoption compared to nonmanaged care units, and this increased over time. Public units and hospital-affiliated units had greater service implementation than other units. However, OSAT units did not always implement the services they adopted, suggesting access to some services may be restricted.",Biology
"I first came across 'My Tutor Friend' accidentally one or two years ago while TV surfing. Prior to that, I'd never watched any Korean films before in my whole life, so MTF was really the first Korean film I've ever watched. And- what a delightful surprise! I was thoroughly amused from the beginning to end, and had a great time laughing. Its comic style is quite different from those of the Hong Kong comic films (which I've been to used to all my life and hence tired of as well), breathing fresh air into my humdrum film viewing experience. I thought there're quite a few scenes and tricks in MTF that are pretty hilarious, witty, and original too.<br /><br />I watched MTF the second time a few days ago, and having watched it once already, the surprise/comic effect on me kind of mitigated. That has, however, by no means affected negatively my opinion of the film. Instead, something else came through this time- it moved me- the story about how two young, seemingly 'enemies' who're utterly incompatible get thrown together, and how they gradually resolve their differences and start caring for each other without realizing the feelings themselves, reminds me of the long gone high school days. To me, Su Wan and Ji Hoon ARE actually compatible as they both have something that is pure and genuine inside them, a quality that separates them from people like say, Ji Hoon's sassy girlfriend.<br /><br />The film is divided into two distinct parts- the 1st part deals with the 'fight' between Su Wan and Ji Hoon, and is more violent and faster in pace. After Ji Hoon gets a pass in his final examination and Su Wan dances the (in Ji Hoon's opinion) provocative dance, things start to change. The pace slows down and... Ji Hoon suddenly realizes he cares for Su Wan more than he could ever imagine. So the 2nd part deals with the development of their mutual feelings, leading of course to a happy ending accompanied by a final showdown with the gang boss.<br /><br />Just one last comment. I find this to be a bit unbelievable- the fact that a 21-year-old self-proclaimed 'bad boy' would feel embarrassed being almost naked in front of the girl he bullies and loses his 'cool' is just a little... odd. I guess that shows that Ji Hoon is just a boy pure at heart and isn't really what his appearance seems. Btw, Kwong San Woo (Ji Hoon) DOES have a sexy body and perfect figure! ;-) <br /><br />MTF is definitely on my list of top 10 favorite films of all time.",Non-Biology
"Mucosa associated lymphoid tissue (MALT) lymphoma is a relatively common lymphoma arising from marginal-zone B-cells which are closely related to plasma cells. As opposed to the large majority of plasma cells, MALT lymphoma cells express CD20, and the anti-CD20 antibody rituximab has been reported as active treatment in patients with MALT lymphoma. We present a patient with MALT lymphoma involving stomach and lung which transformed to a pure plasma cell tumor after therapy with rituximab. This observation again supports the close association between the cell of origin of MALT lymphoma and plasma cells, suggesting that ""plasmacytoma of the GI-tract"" as anecdotally reported may in fact be a MALT lymphoma with extreme plasmacytic differentiation. In addition, our findings suggest that MALT lymphomas with plasmacytic differentiation might have a different 18F-FDG uptake as compared to classical MALT lymphoma.",Biology
"BACKGROUND: The catechol-O-methyltransferase (COMT) gene val158met polymorphism (rs4680) has been found to be associated with various psychiatric phenotypes including panic disorder. Considering the probable genetic influence of COMT on the pathogenesis of panic disorder and white matter connectivity, the present study investigated white matter connectivity using diffusion tensor imaging in relation to the COMT genotype in panic disorder.METHODS: Twenty-six patients with panic disorder and twenty-six age- and gender-matched healthy controls participated in this study. Brain magnetic resonance scans and genotype analysis for COMT rs4680 were conducted. Panic Disorder Severity Scale, Albany Panic and Phobia Questionnaire, and Anxiety Sensitivity Inventory-Revised were assessed. Tract-based spatial statistics (TBSS) were used for image analysis.RESULTS: There was no significant difference in white matter analysis between panic disorder and healthy controls. However, TBSS analysis showed increased fractional anisotropy (FA) in posterior thalamic radiation, posterior and superior corona radiata, superior longitudinal fasciculus, and sagittal stratum, all located in the right hemisphere in COMT AA/AG genotype group compared to GG genotype in panic disorder. Voxelwise correlational analysis revealed the symptom severity scores are correlated with the FA in white matter tracts that previously showed significant group differences between AA/AG and GG genotypes in COMT AA/AG genotype group, while no significant correlation was found in GG genotype group.LIMITATIONS: The sample size in each group was small, hence, further studies with larger numbers of patients are needed to confirm our findings.CONCLUSIONS: These data suggested that COMT rs4680 could affect the white matter connectivity in panic disorder.",Biology
"I love Seth Green. His appearances on THat 70s' Show is always worth watching but last night, I felt the show needed to overhauled. Four single young guys inherit a New York City apartment that most of us would die for. The grandmother must have been an heiress to have such space in the first place. So I felt the need for realism should have been brought out. Anyway the plot about four best friends getting this apartment was not believable. I would have been thrilled if they had to move in with one of their parents which would have provided great humor and dysfunctional about the show's set up. There did not seem to be much humor in it. I am only watching it because it falls before My Name is Earl on a winning Thursday night. I think they should go back, scrap this series, and start over. We need more family involved series. How about Seth and his friends move in with his wacky parents in the suburbs after a fire burns their place down. THey could have Dabney Coleman play the father and Christine Estabrook, play the mother and dysfunctional siblings. The list of possibilities with somebody like Seth Green are endless and the network is blowing it.",Non-Biology
"A 14 months old male child with psychomotor retardation and hypotonia is reported, where computerized axial tomography revealed multiple calcification and ventriculomegaly secondary to cortical atrophy. Investigation suggested the diagnosis of cytomegalovirus infection. Importance of early diagnosis is emphasized as the potential long term sequelae can be prevented or reduced markedly with available therapeutic options.",Biology
"Boring as hell and kind of a chick flick.<br /><br />It's the story of a neurotic woman who struggles with the concept of marriage as a business arrangement, the romantic nature of a one night stand, and the uncertainty and pitfalls of true love.<br /><br />Many of the story's motifs are reminiscent of other recent KST movies (e.g. the English Patient), but have far less appeal.<br /><br />After the first half-hour I started checking my watch, wondering if I'd make it home in time to catch Leno on tv.<br /><br />I passed up ""Gladiator"" to see this!?!",Non-Biology
"Admittedly, I tuned into this in the hopes of seeing some beefcake shots of James Brolin. Unfortunately, there was only one, early on, and the rest of the movie was very tame, and ultimately made little sense.<br /><br />The story, what there is of it, centers on Nick and Julie Atkins, a couple whose marriage of many years is beginning to grow stale. Nick, a successful businessman is focused on work to the point of neglecting Julie, who tries to fill the void by going back to school. Julie's longing for the passion that she and Nick had early in their marriage begins to take shape in the form of powerful sexual fantasies which block out reality for minutes at a time, causing her to do things like burning breakfast and misplace her husband's papers. At first she fantasizes about her husband, but as the movie progresses, she begins to fantasize about other men, and about encounters with random strangers whom she meets. This culminates in her acting out her fantasies with disastrous consequences for her marriage. Can she and her husband rebuild their relationship? Is it worth saving? <br /><br />This could have been an interesting premise, but the execution is so bland that you wonder why they even bothered. Characters aren't developed. Motives aren't explained. Background information isn't given. No exploration is made of how Julie got to the point where she couldn't control herself, and no explanation is offered as to how she will do so in the future. The end product is a muddled mess which is just as confusing as Julie's fantasies, which are surprisingly underdeveloped.<br /><br />The acting is a mixed bag. Donna Mills as Julie does well with the material she is given, although her continual self pity does become strident after awhile. James Brolin acts as though he is reading his lines from cue cards, and even his anger over his wife's infidelity is hard to buy into, he shows so little passion over the whole issue. The supporting roles are mostly forgettable.<br /><br />Disappointing treatment of what could have been an interesting story. More's the pity, since it doesn't even offer the eye candy it promised.",Non-Biology
"The present work describes the synthesis of niobium oxide nanochannels (Nb2O5NCs) with high surface area, porosity, photocurrent density, and photoelectrochemical stability as photocatalyst. The Nb2O5NCs were prepared by electrochemical anodization of niobium foil in different electrolytes: 1 M H2SO4 containing 0.4 wt% HF (S1); glycerol containing 0.4 M NH4F (S2); 0.25 g NH4F with 4 vol% water in glycol at 50 °C (S3); and glycerol containing 10 wt% K2HPO4, at 130 °C (S4, annealed in air; S5, annealed in N2). All the Nb2O5NCs showed well-organized arrays of nanochannels grown on the Nb foil, with tube diameters in the order S4<S2<S1<S3 and film thicknesses in the order S1<S2<S3<S4, as determined using FEG-SEM analyses. The samples were also characterized using XRD, EDX, DRS, XPS, EIS, Mott-Schottky analysis, and LSV curves. But, best results were obtained only when phosphorus (about 1% doping) was incorporated into the electrodes samples prepared in glycerol containing 10 wt% K2HPO4 at 130 °C (i.e. S4 and S5). This procedure enhances the absorption intensity in the UV-Vis regions, the conductivity, the charge carrier density, and the photocurrent density. The Nb2O5NC sample S5 was tested for the degradation of Procion Red HE-3B (RR120) dye, as a model pollutant, achieving efficient photoelectrodegradation with nearly 2 times higher mineralization efficiency compared to photolysis (PT) and photocatalysis (PC). Thus, the results indicate that the modification of Nb2O5NC thin film photoelectrodes by phosphorous doping can be a powerful and efficient alternative to usual approaches applied to the treatment of complex reactive dyes.",Biology
"One of the great tragedies of life is that Disney is so very successful at everything that they do. If they were not, we might have more unique little gems of animation such as ""The Curious Adventures of Mr. Wonderbird."" The story is that an evil king has usurped the throne of a place called Up-And-Down-Land (I could have the name wrong). He is hated by everyone. His favorite hobby is shooting birds, and at some point in the past, he presumably killed the wife of Mr. Wonderbird (a bird, played with typical flair by Peter Ustinov) leaving him with four young chicks to raise. Meanwhile, we see that another of the evil king's hobbies is painting. He has done three paintings in particular: a self portrait, a painting of a shepherdess (which he has fallen in love with), and a painting of chimney sweep (of whom he is jealous). One night, the shepherdess and the chimney sweep climb down out of their paintings and run away together. The self portrait of the king climbs down out of his frame as well, and does away with the real king (You think I'm making this up? Its the real plot) and sends the royal police force after the young lovers. Mr. Wonderbird then assists the lovers in attempting to escape the King's forces.<br /><br />The plot is wonderfully surreal, and the setting Up-and-Down-Land is an incredibly imagined place, full of towering buildings accessible only by elevators. Its an equal mixture of the worlds of ""Metropolis"" and ""1984"" and the drawings of Dr. Seuss.<br /><br />Watch it for a very unique viewing experience that doesn't fit the standard formula for most animated features.",Non-Biology
"Growth plate chondrocytes undergo a coordinated differentiation process resulting in terminal differentiation and new bone formation. Enchondromas are pre-malignant, benign cartilaginous lesions that arise from growth plate chondrocytes that fail to undergo terminal differentiation. NOV (nephroblastoma overexpressed) is a member of the CCN family of proteins, which share a common multi-modular organization. While the role of NOV in chondrocyte development and cartilage neoplasia is not known, other CCN family members play a role in chondrocyte differentiation, or are differentially regulated in cartilage neoplasia. In embryonic murine growth plates, NOV was expressed in pre-hypertrophic and early hypertrophic chondrocytes. PTHrP treatment (which inhibits terminal differentiation) decreased NOV expression in murine femurs maintained in organ culture, and decreased the activity of a NOV reporter construct in vitro. Expression of the CCN family members NOV, CTGF, CYR61, and WISP-1 was examined in 15 chondrosarcomas of various grades and in three enchondromas. Expression of all of the family members was lower in the higher-grade tumours. As identification of the grade of cartilage neoplasia can sometimes be difficult using histology alone, the level of expression of CCN family members could be a useful adjunct in the determination of tumour grade.",Biology
"G(IX) congeneic mouse strains, C57BL/6-G(IX) (+)(B6-G(IX) (+)) and 129-G(IX) (-), have been derived from the prototype strains, B6(G(IX) (-)) and 129(G(IX) (+)). The hybrids, (B6-G(IX) (+) x 129)F(1) (G(IX) (+)F(1)) and (B6 x 129-G(IX) (-))F(1) (G(IX) (-)F(1)), differ only in regard to genetic loci controlling G(IX) antigen expression. G(IX) (+)F(1) mice spontaneously produce G(IX) antibody and often show signs of autoimmune disease and lymphoproliferative disease. G(IX) (-)F(1) mice and mice of the two parental strains (B6-G(IX) (+) and 129) of G(IX) (+)F(1) do not produce G(IX) antibody and seldom show signs of these diseases. G((ERLD)), and G((RADA1)), antibodies, natural thymocytotoxic autoantibody, and antinuclear antibodies were produced by G(IX) (+)F(1) mice. However, these four antibodies were also found in the other strains. G(IX) (+)F(1) mice develop pronounced diffuse glomerulonephritis similar to that found in systemic lupus erythematosus in man. Incidence studies in which mice were examined according to age rather than state of health showed that the lesions occurred in 38% of G(IX) (+)F(1) mice but not in G(IX) (-)F(1), B6-G(IX) (+), or 129 mice. Lymphoproliferative lesions were either reticulum cell sarcoma (RCS) type A or reactive lymphoid hyperplasia (RLH). RCS occurred more often in G(IX) (+)F(1) (38%) than in G(IX) (-)F(1) (12%) or B6-G(IX) (+) (8%). No RCS occurred in mice of the 129 strain. RLH occurred in G(IX) (+)F(1) mice (10%) but not in the other strains. From these results, the following conclusions are drawn: (i) Severe glomerulonephritis and the increased occurrence of lymphoproliferative lesions in these animals depend on the presence of G(IX) antigen; (ii) besides genes controlling G(IX) antigen expression, other genes from both parental strains are required to create the basis in the progeny F(1) mice for the development of these diseases; and (iii) the chronic production of G(IX) antibody may be necessary for the development of the severe glomerulonephritis and for the increased occurrence of lymphoproliferative diseases in G(IX) (+)F(1) mice.",Biology
